epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5432.42,0.69068,0.38284,0.87419,0.71255,0.59959,0.62976,0.47517,1.00356,0.92806,1.00764,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5599.41,0.68508,0.38021,0.87087,0.72042,0.59948,0.63988,0.48225,1.00383,0.94497,1.00736,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5765.58,0.68701,0.37787,0.87224,0.66963,0.56105,0.60816,0.45397,0.98492,0.95892,1.005,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5932.74,0.68119,0.37277,0.87148,0.70151,0.57805,0.63081,0.48078,0.97589,0.94275,0.99705,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6100.13,0.67861,0.37081,0.8725,0.66912,0.61514,0.64776,0.49179,0.99653,0.90626,1.00931,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6266.05,0.6753,0.36988,0.86859,0.71379,0.60215,0.6327,0.47619,1.00072,0.91797,1.00982,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6432.76,0.67487,0.36651,0.8703,0.61975,0.62086,0.60765,0.45929,1.00811,0.91035,1.01081,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6599.12,0.67162,0.36469,0.86839,0.77865,0.57924,0.63456,0.47761,0.99991,0.91146,1.00693,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6766.1,0.6702,0.36331,0.86879,0.68051,0.61126,0.63762,0.48033,0.99779,0.93486,1.0121,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6932.22,0.66753,0.36094,0.86883,0.73998,0.58141,0.62411,0.46858,1.01752,0.91539,1.01497,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7098.93,0.66532,0.35965,0.86839,0.77162,0.58974,0.65029,0.48652,1.01186,0.89504,1.01762,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
