epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5720.16,0.70085,0.31277,0.93218,0.99956,0.99861,0.99457,0.83738,0.68019,0.25391,0.90089,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,5903.22,0.70235,0.31334,0.93049,0.99952,0.99956,0.99457,0.83612,0.6805,0.25286,0.90421,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,6088.29,0.69775,0.31311,0.93376,0.99943,0.99913,0.99457,0.83835,0.67475,0.25071,0.90426,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,6274.43,0.70062,0.31195,0.93636,0.99909,0.99913,0.99457,0.84155,0.66087,0.24973,0.90413,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,6462.58,0.68987,0.31034,0.93134,0.99905,0.99956,0.99457,0.84054,0.67401,0.24715,0.90196,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,6648.11,0.69526,0.30813,0.93127,0.99955,0.99913,0.99457,0.83846,0.66803,0.2456,0.90352,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,6833.98,0.68733,0.30531,0.92656,0.99825,0.99899,0.99456,0.838,0.6727,0.24536,0.89986,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,7020.79,0.69642,0.30745,0.92909,0.9991,0.99956,0.99457,0.83689,0.67414,0.24605,0.89968,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,7229.83,0.68997,0.30287,0.93428,0.99956,0.99868,0.99457,0.83878,0.67245,0.24184,0.9064,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,7476.52,0.69151,0.30181,0.9311,0.99956,0.99953,0.99458,0.8379,0.67238,0.24619,0.90148,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
40,7664.16,0.69044,0.30159,0.92913,0.99955,0.99913,0.99457,0.83689,0.68028,0.24267,0.90224,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
41,7849.55,0.68677,0.29929,0.92933,0.99956,0.99953,0.99458,0.84075,0.67066,0.23679,0.89577,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,8035.05,0.6877,0.29837,0.92442,0.99951,0.99913,0.99458,0.84014,0.67199,0.23925,0.89493,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,8221.46,0.68582,0.29937,0.92581,0.99952,0.99825,0.99458,0.83952,0.66118,0.23513,0.89383,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,8408.25,0.68017,0.29212,0.92251,0.99913,0.99864,0.99459,0.84023,0.67002,0.23826,0.89372,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
45,8594.41,0.6786,0.29359,0.9267,0.99956,0.9986,0.99458,0.83936,0.67457,0.23841,0.90502,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
46,8779.45,0.68287,0.29285,0.92051,0.99953,0.99869,0.99458,0.84033,0.66473,0.23338,0.89129,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125
47,8964.95,0.68298,0.28975,0.92309,0.99956,0.99866,0.99458,0.83839,0.67487,0.23505,0.89878,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
48,9150.89,0.68156,0.28858,0.92906,0.99913,0.99909,0.99458,0.84113,0.66737,0.2341,0.90192,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,9337.86,0.67613,0.28816,0.92332,0.99953,0.99913,0.99458,0.83926,0.67304,0.2355,0.8993,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
50,9521.68,0.67298,0.28646,0.92118,0.99953,0.99913,0.99458,0.83533,0.68065,0.23869,0.90264,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625
51,9706.29,0.67015,0.28426,0.92275,0.99952,0.99913,0.99458,0.84083,0.66757,0.23199,0.89895,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
52,9891.53,0.67186,0.28484,0.92478,0.99953,0.99913,0.99458,0.84161,0.66235,0.23159,0.8994,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875
53,10077.9,0.6711,0.2824,0.9198,0.99946,0.99869,0.99458,0.84104,0.66652,0.23082,0.89455,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
54,10263,0.66352,0.27974,0.91856,0.99952,0.99869,0.99457,0.83941,0.6669,0.23141,0.89659,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125
55,10447.1,0.66584,0.27961,0.92007,0.99953,0.99913,0.99457,0.84025,0.66717,0.22905,0.89863,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
56,10633.4,0.66922,0.27686,0.91855,0.99954,0.99913,0.99458,0.84026,0.66693,0.2273,0.89317,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375
57,10819.8,0.66418,0.27557,0.91952,0.99937,0.99913,0.99457,0.83919,0.67214,0.23157,0.8952,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
58,11006,0.65877,0.27386,0.91576,0.99955,0.99869,0.99458,0.83977,0.67195,0.23083,0.8933,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625
59,11190.7,0.6607,0.2736,0.91777,0.99954,0.99913,0.99458,0.8371,0.67785,0.23063,0.8959,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
60,11377.5,0.6634,0.27104,0.91805,0.99953,0.99913,0.99458,0.84009,0.67478,0.23095,0.89452,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875
61,11564.5,0.65659,0.27053,0.91539,0.99956,0.99903,0.99458,0.83842,0.67516,0.23101,0.89464,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
62,11750.9,0.6508,0.26963,0.92168,0.99913,0.99897,0.99458,0.83738,0.67453,0.22902,0.89863,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125
63,11935.9,0.65436,0.26987,0.92005,0.99956,0.99899,0.99458,0.83671,0.67618,0.23022,0.90246,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
64,12120.1,0.65329,0.26697,0.91898,0.99956,0.99866,0.99457,0.83762,0.67789,0.22992,0.90158,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375
65,12306.6,0.65135,0.26407,0.91359,0.99954,0.99869,0.99458,0.83576,0.67885,0.2285,0.89909,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
66,12493.1,0.64201,0.26208,0.9112,0.99913,0.99911,0.99458,0.83565,0.67795,0.22785,0.89678,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625
67,12679.1,0.64364,0.26137,0.90585,0.99906,0.99913,0.99458,0.8371,0.67555,0.22794,0.89484,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
68,12865.8,0.64356,0.25915,0.9112,0.99913,0.99912,0.99458,0.83597,0.67924,0.22836,0.89568,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875
69,13052.6,0.64451,0.25754,0.9128,0.99913,0.99909,0.99457,0.83626,0.67849,0.22847,0.8953,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
70,13239.8,0.64184,0.25599,0.91263,0.99913,0.9991,0.99458,0.8361,0.67702,0.22743,0.89524,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125
71,13465.8,0.62428,0.23329,0.89405,0.99913,0.99906,0.99458,0.83771,0.67502,0.22719,0.89474,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
72,13652.7,0.623,0.22962,0.89111,0.99904,0.99913,0.99458,0.83616,0.67636,0.22778,0.8933,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375
73,13835.5,0.62192,0.2277,0.88881,0.99895,0.99913,0.99458,0.83639,0.67823,0.22908,0.89205,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
74,14019.9,0.61782,0.22565,0.8828,0.99913,0.99907,0.99458,0.83687,0.67751,0.22907,0.89034,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625
75,14205.8,0.61591,0.2253,0.88628,0.99902,0.99913,0.99458,0.83589,0.67897,0.23027,0.89035,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
76,14389.9,0.61476,0.22091,0.89202,0.99909,0.99913,0.99458,0.83454,0.67957,0.2306,0.89125,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875
77,14573.5,0.61262,0.22017,0.8867,0.99913,0.99889,0.99458,0.83302,0.6799,0.23075,0.89179,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
78,14757.1,0.61031,0.21691,0.89084,0.99895,0.99913,0.99458,0.83166,0.68164,0.23125,0.89274,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125
79,14942.7,0.60854,0.21474,0.88774,0.99896,0.99913,0.99458,0.83189,0.68114,0.23195,0.89298,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
80,15128.4,0.60592,0.2127,0.88642,0.99891,0.99913,0.99458,0.83166,0.68197,0.23274,0.89374,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375
